band_name,desc,central,width,min,max,nominal ifov (m),nominal pixel (m),notes
msi01,coastal aerosol,442.7,20,432.7,452.7,60,60,'
msi02,blue,492.7,65,460.2,525.2,10,10,'
msi03,green,559.8,35,542.3,577.3,10,10,'
msi04,red,664.6,30,649.6,679.6,10,10,'
msi05,red-edge,704.1,14,697.1,711.1,20,20,'
msi06,nir-1,740.5,14,733.5,747.5,20,20,'
msi07,nir-2,782.8,19,773.3,792.3,20,20,'
msi08,nir-3,832.8,105,780.3,885.3,10,10,'
msi8a,nir-narrow,864.7,21,854.2,875.2,20,20,'
msi09,water vapour,945.1,19,935.6,954.6,60,60,'
msi10,cirrus,1373.5,29,1359,1388,60,60,'
msi11,swir1,1613.7,90,1568.7,1658.7,20,20,'
msi12,swir2,2202.4,174,2115.4,2289.4,20,20,'
