,OWT,msi01_agm,msi02_agm,msi03_agm,msi04_agm,msi05_agm,msi06_agm,msi07_agm
OWT-1,1,0.0016829701176470588,0.0022750343962264154,0.0037065134827586202,0.00284043976,0.0031221094166666665,0.0014003738461538459,0.0013536292500000004
OWT-2,2,0.0036958111176470586,0.002785930452830189,0.0035305313793103452,0.00156266884,0.0015865663333333331,0.001025238846153846,0.0011866524375
OWT-3,3,0.0009086242352941177,0.0010768972264150942,0.003357619724137931,0.00182927796,0.00708074175,0.002511739153846154,0.0021257487500000003
OWT-4,4,0.0011799665294117646,0.00207270958490566,0.00480647072413793,0.00254214252,0.0037252574999999994,0.0011116838461538462,0.001061007375
OWT-5,5,0.003148821,0.003340866245283019,0.004100492068965519,0.0018476894799999998,0.00158521075,0.0006989546923076924,0.0006581496875000001
OWT-6,6,0.001095359176470588,0.002084668490566037,0.004335538965517242,0.0032638886399999996,0.003228570166666666,0.0007822489230769231,0.0007539594375
OWT-7,7,0.000958589588235294,0.0008445168679245283,0.0019325467586206904,0.004140110840000001,0.005115927083333333,0.002568429692307692,0.0029590762500000005
OWT-8,8,0.0017922748235294115,0.002644592943396227,0.004395980482758621,0.00264602768,0.002404155166666667,0.0007997816923076925,0.00080006525
OWT-9,9,0.0006046271764705882,0.0009865260566037735,0.0024505574827586203,0.00111980984,0.0034798342500000005,0.006378651461538461,0.006766937
OWT-10,10,0.004720769705882353,0.005266166773584905,0.004082253482758621,0.0007380646000000001,0.00040070133333333337,0.00011670038461538464,0.00020849318749999998
OWT-11,11,0.00250814205882353,0.003572814509433962,0.005553450586206897,0.0015537484400000002,0.0011640171666666664,0.00038237199999999996,0.00041707699999999996
OWT-12,12,0.007450179411764705,0.005486128283018867,0.0019376652413793105,0.000278276,4.905e-05,3.945307692307692e-05,0.00023986100000000004
OWT-13,13,0.0020575309999999996,0.003132202867924528,0.005139432241379311,0.0021370553600000004,0.0016771653333333334,0.0004770579230769231,0.0004833301875
