band_name,desc,central,width,min,max,nominal ifov (m),nominal pixel (m),notes
oli01,coastal aerosol,440,20,430,450,30,30,'
oli02,blue,480,60,450,510,30,30,'
oli03,green,560,60,530,590,30,30,'
oli04,red,655,30,640,670,30,30,'
oli05,nir,865,30,850,880,30,30,'
oli06,swir1,1610,80,1570,1650,30,30,'
oli07,swir2,2200,180,2110,2290,30,30,'
oli08,panchromatic,590,180,500,680,15,15,'
oli09,cirrus,1370,20,1360,1380,30,30,'
oli10,tirs1,1089.5,59,1060,1119,100,30,'
oli11,tirs2,1200.5,101,1150,1251,100,30,'
